index,distance,velocity,time
0,0,0.00,0.000000
1,15,188.71,0.083196
2,31,223.93,0.153308
3,47,276.16,0.210160
4,62,341.33,0.256156
5,78,376.50,0.297856
6,94,391.09,0.338000
7,109,405.68,0.376700
8,125,433.37,0.412928
9,141,476.33,0.445888
10,157,516.72,0.476272
11,172,542.13,0.505232
12,188,560.87,0.533224
13,204,571.49,0.560696
14,219,582.69,0.587640
15,235,606.27,0.613536
16,251,629.61,0.638472
17,266,663.12,0.662148
18,282,690.78,0.684876
19,298,713.90,0.706868
20,314,736.40,0.728188
21,329,754.08,0.749008
22,345,760.81,0.769644
23,361,776.92,0.789852
24,376,793.89,0.809628
25,392,807.78,0.829064
26,408,829.28,0.847996
27,423,849.75,0.866472
28,439,870.29,0.884512
29,455,895.10,0.902052
30,471,916.41,0.919184
31,486,935.64,0.935964
32,502,955.45,0.952396
33,518,963.19,0.968696
34,533,985.93,0.984620
35,549,987.17,1.000524
36,565,999.49,1.016232
37,580,1005.64,1.031844
38,596,1015.52,1.047304
39,612,1028.29,1.062572
40,628,1044.16,1.077608
41,643,1060.81,1.092408
42,659,1080.37,1.106940
43,675,1096.37,1.121260
44,690,1113.79,1.135356
45,706,1126.26,1.149296
46,722,1143.98,1.163020
47,737,1159.87,1.176556
48,753,1168.50,1.189992
49,769,1175.85,1.203344
50,785,1188.31,1.216556
51,800,1194.10,1.229704
52,816,1203.99,1.242744
53,832,1208.06,1.255740
54,847,1224.27,1.268564
55,863,1235.05,1.281276
56,879,1245.64,1.293880
57,894,1258.82,1.306352
58,910,1271.05,1.318704
59,926,1287.73,1.330896
60,942,1302.26,1.342952
61,957,1315.35,1.354888
62,973,1330.51,1.366688
63,989,1340.96,1.378396
64,1004,1360.01,1.389940
65,1020,1372.86,1.401376
66,1036,1374.78,1.412796
67,1051,1388.89,1.424100
68,1067,1391.84,1.435380
69,1083,1398.79,1.446604
70,1099,1415.43,1.457696
71,1114,1407.31,1.468852
72,1130,1421.59,1.479896
73,1146,1428.31,1.490888
74,1161,1428.31,1.501880
75,1177,1456.94,1.512656
76,1193,1448.87,1.523492
77,1208,1467.84,1.534188
78,1224,1483.37,1.544772
79,1240,1474.46,1.555420
80,1256,1503.83,1.565860
81,1271,1507.88,1.576272
82,1287,1511.36,1.586660
83,1303,1539.22,1.596860
84,1318,1532.01,1.607108
85,1334,1558.78,1.617180
86,1350,1558.78,1.627252
87,1365,1564.37,1.637288
88,1381,1588.43,1.647172
89,1397,1580.75,1.657104
90,1413,1602.69,1.666900
91,1428,1595.53,1.676740
92,1444,1604.00,1.686528
93,1460,1608.61,1.696288
94,1475,1615.23,1.706008
95,1491,1509.03,1.716412
96,1507,835.28,1.735208
97,1522,1265.31,1.747616
98,1538,1317.11,1.759536
99,1554,1326.01,1.771376
100,1570,1322.44,1.783248
101,1585,1310.52,1.795228
102,1601,1302.69,1.807280
103,1617,1288.58,1.819464
104,1632,1271.46,1.831812
105,1648,1254.80,1.844324
106,1664,1238.95,1.856996
107,1679,1228.48,1.869776
108,1695,1222.74,1.882616
109,1711,1212.17,1.895568
110,1727,1201.04,1.908640
111,1742,1187.59,1.921860
112,1758,1174.10,1.935232
113,1774,1156.79,1.948804
114,1789,1146.32,1.962500
115,1805,1125.29,1.976452
116,1821,1097.29,1.990760
117,1836,1086.96,2.005204
118,1852,1068.90,2.019892
119,1868,1033.71,2.035080
120,1884,1007.44,2.050664
121,1899,1002.04,2.066332
122,1915,984.94,2.082272
123,1931,963.90,2.098560
124,1946,961.54,2.114888
125,1962,940.12,2.131588
126,1978,907.09,2.148896
127,1993,896.12,2.166416
128,2009,877.88,2.184300
129,2025,862.45,2.202504
130,2041,834.40,2.221320
131,2056,796.63,2.241028
132,2072,773.09,2.261336
133,2088,744.64,2.282420
134,2103,713.12,2.304436
135,2119,666.38,2.327996
136,2135,639.15,2.352560
137,2150,618.60,2.377940
138,2166,592.18,2.404452
139,2182,557.05,2.432636
140,2198,531.63,2.462168
141,2213,506.13,2.493188
142,2229,482.25,2.525744
143,2245,428.26,2.562404
144,2260,365.97,2.605304
145,2276,293.90,2.658724
146,2292,186.11,2.743084
147,2307,24.61,3.381044
148,2323,14.08,4.496232
149,2339,34.98,4.945104
150,2355,46.85,5.280244
151,2370,7.40,7.401692

