index,distance,velocity,time
0,0,0.70,0.000000
1,15,27.73,0.566228
0,0,1.59,0.000000
1,15,297.24,0.052820
2,31,659.33,0.076632
3,47,629.81,0.101560
4,62,680.71,0.124624
5,78,489.10,0.156724
6,94,198.68,0.235744
7,109,283.74,0.291076
8,125,639.35,0.315632
9,141,707.21,0.337832
10,157,934.97,0.354624
11,172,900.23,0.372064
12,188,1068.90,0.386752
13,204,903.96,0.404120
14,219,995.69,0.419888
15,235,827.36,0.438864
16,251,868.75,0.456936
17,266,689.93,0.479692
18,282,825.62,0.498708
19,298,776.61,0.518924
20,314,956.85,0.535332
21,329,898.79,0.552800
22,345,1127.23,0.566728
23,361,1066.87,0.581444
24,376,1313.59,0.593396
25,392,1184.01,0.606656
26,408,1418.50,0.617724
27,423,1241.70,0.630368
28,439,1423.65,0.641396
29,455,1267.36,0.653784
30,471,1463.46,0.664512
31,486,1259.63,0.676976
32,502,1438.26,0.687892
33,518,1211.79,0.700848
34,533,1393.33,0.712116
35,549,1204.36,0.725152
36,565,1393.82,0.736416
37,580,1231.57,0.749164
38,596,1423.13,0.760196
39,612,1263.28,0.772624
40,628,1479.46,0.783236
41,643,1336.40,0.794984
42,659,1595.53,0.804824
43,675,1426.24,0.815832
44,690,1690.35,0.825120
45,706,1518.38,0.835460
46,722,1744.44,0.844460
47,737,1571.26,0.854452
48,753,1815.45,0.863100
49,769,1611.91,0.872840
50,785,1853.16,0.881312
51,800,1665.96,0.890736
52,816,1885.21,0.899064
53,832,1683.10,0.908392
54,847,1891.57,0.916692
55,863,1673.77,0.926072
56,879,1889.74,0.934380
57,894,1665.25,0.943808
58,910,1900.73,0.952068
59,926,1661.73,0.961516
60,942,1919.32,0.969696
61,957,1677.35,0.979056
62,973,1927.80,0.987200
63,989,1673.77,0.996580
64,1004,1953.71,1.004616
65,1020,1723.00,1.013728
66,1036,614.82,1.039264
67,1051,1209.55,1.052244
68,1067,1330.06,1.064048
69,1083,1134.39,1.077888
70,1099,1276.84,1.090184
71,1114,1137.02,1.103992
72,1130,1558.16,1.114068
73,1146,1679.50,1.123416
74,1161,2054.97,1.131056
75,1177,1894.31,1.139344
76,1193,2383.12,1.145932
77,1208,2150.68,1.153232
78,1224,2501.59,1.159508
79,1240,2203.82,1.166632
80,1256,2580.54,1.172716
81,1271,2363.03,1.179360
82,1287,2750.53,1.185068
83,1303,2384.57,1.191652
84,1318,2706.90,1.197452
85,1334,2373.03,1.204068
86,1350,2739.01,1.209800
87,1365,2275.36,1.216700
88,1381,2550.36,1.222856
89,1397,2160.15,1.230124
90,1413,2311.54,1.236916
91,1428,2066.88,1.244512
92,1444,1993.40,1.252388
93,1460,1592.29,1.262248
94,1475,1933.50,1.270368
95,1491,1542.24,1.280548
96,1507,2279.33,1.287436
97,1522,2339.09,1.294148
98,1538,2729.49,1.299900
99,1554,2699.45,1.305716
100,1570,3607.54,1.310068
101,1585,3651.16,1.314368
102,1601,4400.22,1.317936
103,1617,3449.03,1.322488
104,1632,3433.95,1.327060
105,1648,1135.05,1.340892
106,1664,2964.50,1.346188
107,1679,586.52,1.372956
108,1695,495.39,1.404648
109,1711,365.80,1.447568
110,1727,668.09,1.471068
111,1742,886.20,1.488784
112,1758,1627.96,1.498428
113,1774,1902.57,1.506680
114,1789,2487.33,1.512992
115,1805,2377.35,1.519596
116,1821,2924.74,1.524964
117,1836,2653.82,1.530880
118,1852,3246.48,1.535716
119,1868,2785.66,1.541352
120,1884,3134.98,1.546360
121,1899,2637.77,1.552312
122,1915,2924.74,1.557680
123,1931,2512.80,1.563928
124,1946,2840.09,1.569456
125,1962,2390.38,0.000000
126,1978,2657.41,0.005908
127,1993,2239.02,0.012920
128,2009,2495.23,0.019212
129,2025,2173.31,0.026436
130,2041,2443.96,0.032860
131,2056,2098.93,0.040340
132,2072,2360.19,0.046992
133,2088,2035.79,0.054704
134,2103,2292.64,0.061552
135,2119,1981.32,0.069476
136,2135,2249.28,0.076456
137,2150,1939.23,0.084552
138,2166,2210.02,0.091656
139,2182,1901.65,0.099912
140,2198,2141.30,0.107244
141,2213,1828.13,0.115832
142,2229,2052.82,0.123480
143,2245,1749.11,0.132456
144,2260,1961.52,0.140460
145,2276,1704.30,0.149672
146,2292,1974.35,0.157624
147,2307,1677.35,0.166984
148,2323,1903.49,0.175232
149,2339,1640.89,0.184800
150,2355,1849.67,0.193288
151,2370,1627.28,0.202936
152,2386,1837.55,0.211480
153,2402,1566.87,0.221500
154,2417,1715.47,0.230652
155,2433,1430.39,0.241628
156,2449,1597.48,0.251456
157,2464,1372.38,0.262896
158,2480,1565.62,0.272924
159,2496,1358.13,0.284484
160,2512,1545.88,0.294640
161,2527,1331.41,0.306432
162,2543,1496.38,0.316924
163,2559,1278.09,0.329208
164,2574,1429.87,0.340188
165,2590,1213.67,0.353124
166,2606,1336.85,0.364868
167,2621,1113.79,0.378964
168,2637,1233.89,0.391688
169,2653,1045.55,0.406704
170,2669,1154.75,0.420300
171,2684,991.41,0.436136
172,2700,1081.57,0.450652
173,2716,907.72,0.467948
174,2731,1015.79,0.483404
175,2747,866.64,0.501520
176,2763,973.46,0.517648
177,2778,828.06,0.536608
178,2794,875.33,0.554544
179,2810,670.02,0.577976
180,2826,694.08,0.600596
181,2841,574.33,0.627932
182,2857,607.96,0.653756
183,2873,399.78,0.693028
